Unique_ID,Ticker,Company Name,Exchange,Fiscal_Year,Fiscal_Quarter,Quarter_End_Date,Currency,Q_Revenue,Q_R&D,Q_SG&A,Q_Cash,Market_Cap,Is_Historical_Baseline,Reporting_Standard,USD_Converted_Flag,Source,Fetch_Date
CMP-028,MRNA,"Moderna, Inc.",NASDAQ,2025.0,2025Q4,31/12/2025,USD,676.0,775.0,308.0,2595.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-028,MRNA,"Moderna, Inc.",NASDAQ,2025.0,2025Q3,30/09/2025,USD,1002.0,801.0,268.0,1132.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-028,MRNA,"Moderna, Inc.",NASDAQ,2025.0,2025Q2,30/06/2025,USD,137.0,700.0,230.0,1279.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-028,MRNA,"Moderna, Inc.",NASDAQ,2025.0,2025Q1,31/03/2025,USD,107.0,856.0,212.0,1623.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-029,CSL,CSL Limited,NYSE,2026.0,2026Q1,31/03/2026,USD,1052.1,12.1,171.8,771.3,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-029,CSL,CSL Limited,NYSE,2025.0,2025Q4,31/12/2025,USD,1127.7,12.9,176.6,1112.1,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-029,CSL,CSL Limited,NYSE,2025.0,2025Q3,30/09/2025,USD,1346.9,12.4,177.9,1105.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-029,CSL,CSL Limited,NYSE,2025.0,2025Q2,30/06/2025,USD,1449.5,11.1,196.9,68.4,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-029,CSL,CSL Limited,NYSE,2025.0,2025Q1,31/03/2025,USD,1095.8,10.7,194.0,220.2,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-030,HLN.L,Haleon plc,LSE,2025.0,2025Q4,31/12/2025,USD,3474.45,95.76,1374.66,1668.24,41.34,,IFRS,True,Browser_IR_Fetch,12/05/2026
CMP-031,ALNY,Alnylam Pharmaceuticals,NASDAQ,2026.0,2026Q1,31/03/2026,USD,1167.18,364.87,322.55,1710.78,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-031,ALNY,Alnylam Pharmaceuticals,NASDAQ,2025.0,2025Q4,31/12/2025,USD,1097.03,372.22,325.37,1657.25,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-031,ALNY,Alnylam Pharmaceuticals,NASDAQ,2025.0,2025Q3,30/09/2025,USD,1249.03,358.81,322.08,1490.25,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-031,ALNY,Alnylam Pharmaceuticals,NASDAQ,2025.0,2025Q2,30/06/2025,USD,773.69,323.62,323.31,1113.68,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-031,ALNY,Alnylam Pharmaceuticals,NASDAQ,2025.0,2025Q1,31/03/2025,USD,594.19,265.12,239.95,1019.65,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-032,SUNPHARMA.NS,Sun Pharmaceutical Industries,NSE,2026.0,2026Q1,31/03/2026,USD,1591.42,103.84,905.4,3355.71,46840.0,True,IND_AS,True,"Sun Pharma Q4FY26 Audited Consolidated Results, May 22 2026",25/05/2026
CMP-033,UTHR,United Therapeutics Corporation,NASDAQ,2026.0,2026Q1,31/03/2026,USD,781.5,138.2,184.1,1279.7,24.75,,GAAP,False,SEC_EDGAR,11/05/2026
CMP-033,UTHR,United Therapeutics Corporation,NASDAQ,2025.0,2025Q4,31/12/2025,USD,790.2,139.5,189.8,1557.1,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-033,UTHR,United Therapeutics Corporation,NASDAQ,2025.0,2025Q3,30/09/2025,USD,799.5,127.5,181.8,1340.1,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-033,UTHR,United Therapeutics Corporation,NASDAQ,2025.0,2025Q2,30/06/2025,USD,798.6,134.0,190.8,1593.1,,True,GAAP,False,yfinance_fetch,13/05/2026
